iter	MultiClass
251	0.5750986901
252	0.5749231092
253	0.5743046609
254	0.5738510105
255	0.5736898782
256	0.5734530176
257	0.5732887463
258	0.5731317161
259	0.5727284303
260	0.5725788966
261	0.572351381
262	0.5722207891
263	0.5713891789
264	0.5710964163
265	0.5707682828
266	0.5704471383
267	0.5700187291
268	0.569536183
269	0.5692329592
270	0.5687693849
271	0.568570419
272	0.5684027524
273	0.5679599203
274	0.5677094728
275	0.5661516702
276	0.5657057668
277	0.5644987117
278	0.5643511627
279	0.5641192075
280	0.563913837
281	0.563742155
282	0.5628756838
283	0.562693049
284	0.5624254685
285	0.5612116174
286	0.5609524183
287	0.5603660103
288	0.5600586139
289	0.5599471107
290	0.5596970511
291	0.5594738251
292	0.5593430592
293	0.5589228906
294	0.5587177809
295	0.5578174189
296	0.5567342891
297	0.5564963305
298	0.5563399243
299	0.5558492692
300	0.5555744886
301	0.5553809722
302	0.5550338256
303	0.5547342614
304	0.5544594794
305	0.5536249482
306	0.5534798289
307	0.5532641516
308	0.5530659319
309	0.5529110179
310	0.5527165618
311	0.5525174344
312	0.5522394005
313	0.5520468328
314	0.5518472861
315	0.5515787013
316	0.5514496721
317	0.5513068686
318	0.5509920453
