TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_DIRECTION,CRASH_DAY_OF_WEEK,CRASH_DATE_month,CRASH_DATE_hour,POSTED_SPEED_LIMIT,NUM_UNITS,LATITUDE,LONGITUDE,Severity
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,ANGLE,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,others,others,S,2,6,13,0.2525400696474301,-0.08823949142329818,-1.7955013726765154,-0.4991233582339217,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,PARKING LOT,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,S,5,8,12,-2.2059948550718596,-0.08823949142329818,-1.0875841564882405,1.5697645552656467,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,external factors,external factors,W,2,10,9,0.2525400696474301,-0.08823949142329818,0.9633245746535645,-1.1789071941690485,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,S,5,2,7,1.0720517112205266,-0.08823949142329818,-0.005944289028511213,0.8828521489842238,1
TRAFFIC SIGNAL,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,S,4,9,20,0.2525400696474301,-0.08823949142329818,-0.9517070367862818,-0.07545944499877043,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,S,5,11,12,-1.3864832134987628,-0.08823949142329818,-1.0524963578680697,1.737999495339142,1
NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,S,1,11,2,0.2525400696474301,-0.08823949142329818,-1.4787414245449721,1.5825128304845246,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,FIXED OBJECT,OTHER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,W,7,12,15,-2.2059948550718596,-2.236113601203421,0.4402625696001573,0.7725421811597496,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,S,3,4,1,0.2525400696474301,-0.08823949142329818,-0.6510415249395256,1.2704772417570798,1
NO CONTROLS,NO CONTROLS,CLEAR,DAWN,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,S,3,10,18,1.0720517112205266,-0.08823949142329818,-1.6725168823221648,0.3378085300702377,1
NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,external factors,others,N,7,2,3,0.2525400696474301,-0.08823949142329818,1.0895726553028686,0.5152526522034624,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,S,4,9,17,0.2525400696474301,-0.08823949142329818,-0.95885673257295,1.1568261651392246,1
NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,FIXED OBJECT,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,WET,NO DEFECTS,others,others,W,3,6,12,0.2525400696474301,-2.236113601203421,0.4711491232392718,0.5588150984377587,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,S,4,10,12,-2.2059948550718596,-0.08823949142329818,-2.342287323187411,1.4230335654839443,1
NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,N,5,8,14,0.2525400696474301,-0.08823949142329818,1.142745570543937,0.5315499147260185,1
NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,S,2,10,19,0.2525400696474301,2.0596346183568244,0.14734576724423912,-1.6050629772623133,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,N,3,2,14,0.2525400696474301,2.0596346183568244,1.4436878232662453,-2.16357949485082,1
NO CONTROLS,NO CONTROLS,FOG/SMOKE/HAZE,DAYLIGHT,PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,S,2,11,11,0.2525400696474301,-0.08823949142329818,-0.048971412574568746,-0.1113189362083345,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,S,4,5,11,0.2525400696474301,2.0596346183568244,-1.432641804808341,2.160101419156531,1
NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,W,7,11,0,0.2525400696474301,-0.08823949142329818,1.309620003279471,-0.8247736786181288,1
NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,PARKED MOTOR VEHICLE,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,S,2,7,22,0.2525400696474301,-0.08823949142329818,-0.5194711092267326,-0.4027734869005131,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,N,3,8,18,0.2525400696474301,-0.08823949142329818,1.5620416556230357,-1.1665768746693364,1
NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,W,7,6,2,0.2525400696474301,-0.08823949142329818,0.24120475147925438,-0.9747545819344595,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,N,6,3,22,0.2525400696474301,-0.08823949142329818,0.6920566982320859,0.7473833001105785,1
NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,vehicle conditions,vehicle conditions,N,1,7,1,0.2525400696474301,-0.08823949142329818,1.5200728114138937,-0.1772182336471269,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,W,7,2,14,0.2525400696474301,-0.08823949142329818,0.9567590187996732,-2.1299445286443213,1
NO CONTROLS,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,careless driving,N,6,10,11,0.2525400696474301,-0.08823949142329818,1.5831335623238638,0.32184080175088103,1
NO CONTROLS,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,WET,NO DEFECTS,dangerous driving,driver conditions,W,6,12,18,0.2525400696474301,-2.236113601203421,1.6568951044115938,0.0668150699401819,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,S,4,9,15,0.2525400696474301,-0.08823949142329818,0.10443916327537232,0.21504046452263956,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,S,5,1,15,0.2525400696474301,-0.08823949142329818,-0.9052916821425372,-0.7391430218192439,1
NO CONTROLS,NO CONTROLS,SNOW,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,others,external factors,W,5,2,15,0.2525400696474301,-0.08823949142329818,1.81673162814258,-2.1810854835542917,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,W,6,7,14,0.2525400696474301,-0.08823949142329818,1.3917152587305088,-2.1605616285995617,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,S,2,4,13,-0.5669715719256664,-0.08823949142329818,-0.3840709308954019,-0.7610864750781672,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,HEAD ON,PARKING LOT,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,W,2,9,11,-0.5669715719256664,-0.08823949142329818,-0.915553066623931,-1.5558346534813627,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,N,5,6,17,0.2525400696474301,-0.08823949142329818,0.9808178342594561,0.6680981724679759,1
NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,PARKED MOTOR VEHICLE,OTHER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,S,7,4,2,1.0720517112205266,-0.08823949142329818,-0.7609726114525591,1.0410553399699631,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,dangerous driving,dangerous driving,S,3,2,11,0.2525400696474301,-0.08823949142329818,0.20098387894704925,-1.4419829371458939,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,W,6,7,21,0.2525400696474301,2.0596346183568244,0.2036758097342127,-0.6968637530881627,1
NO CONTROLS,NO CONTROLS,SNOW,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,ONE-WAY,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,others,others,N,7,1,20,-0.5669715719256664,-2.236113601203421,1.3491300986751071,-0.9133622448444684,1
NO CONTROLS,NO CONTROLS,CLEAR,DUSK,FIXED OBJECT,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,E,6,5,19,0.2525400696474301,-2.236113601203421,-1.5216841038305526,1.2885440508594506,1
NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,N,2,11,15,0.2525400696474301,-0.08823949142329818,1.448441359162696,-1.5109320327067703,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,W,1,8,12,0.2525400696474301,-0.08823949142329818,0.9731805379552788,-0.22864813139901652,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,W,5,7,18,0.2525400696474301,-0.08823949142329818,-0.5500550505011018,0.6535867607220214,1
TRAFFIC SIGNAL,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,external factors,others,N,5,5,10,0.2525400696474301,-0.08823949142329818,1.1524059215704645,-0.15956780734871276,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,OTHER OBJECT,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,S,4,7,16,1.0720517112205266,-0.08823949142329818,-1.2932022067269622,0.9506952821612087,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,OTHER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,S,4,4,9,0.2525400696474301,-0.08823949142329818,0.19864966586257232,1.0481971532477916,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,N,3,9,8,0.2525400696474301,-0.08823949142329818,1.5093508303656322,0.4077173238091245,1
NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,ALLEY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,S,3,6,0,-3.025506496644956,2.0596346183568244,-0.886973126700797,0.2761469200357265,1
NO CONTROLS,NO CONTROLS,SNOW,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,dangerous driving,dangerous driving,N,1,2,11,0.2525400696474301,2.0596346183568244,1.868062017017683,-2.260052307270352,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,S,5,4,16,0.2525400696474301,-0.08823949142329818,-0.7386399006573726,-1.0633832152172504,1
NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE OPPOSITE DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,E,1,7,23,0.2525400696474301,-0.08823949142329818,-0.9668979556748837,1.4297985217960691,1
TRAFFIC SIGNAL,NO CONTROLS,CLEAR,DARKNESS,TURNING,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,W,1,7,22,0.2525400696474301,-0.08823949142329818,-0.8702048875603052,-1.5643875747032565,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,ICE,NO DEFECTS,dangerous driving,dangerous driving,W,5,1,8,0.2525400696474301,-0.08823949142329818,-0.8998878565579596,-0.38523828932985554,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,N,6,5,13,0.2525400696474301,-0.08823949142329818,0.6407783208571244,0.7550504839981895,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,N,2,6,19,0.2525400696474301,-0.08823949142329818,1.5966138690867557,-0.5446971064319968,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,W,6,12,11,0.2525400696474301,-0.08823949142329818,-1.7476368410414982,-0.03985425866906631,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,W,7,1,14,0.2525400696474301,-0.08823949142329818,1.3916260277773864,-1.257798399561249,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,E,6,3,7,0.2525400696474301,-0.08823949142329818,0.3654399812335631,1.0681744455195175,1
NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,S,5,12,18,0.2525400696474301,-0.08823949142329818,-0.5154876470794996,1.4412701986950365,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,S,5,9,18,0.2525400696474301,-0.08823949142329818,-0.721792470943229,1.613860879382502,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,PARKING LOT,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,S,7,3,16,-4.664529779791149,-0.08823949142329818,-0.9766962685191034,0.5877665995251383,1
NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,S,1,5,2,-1.3864832134987628,-0.08823949142329818,-1.3655749658730583,-0.27195302544450234,1
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,WET,NO DEFECTS,dangerous driving,others,W,2,12,16,0.2525400696474301,-0.08823949142329818,1.005534422992464,-1.5218602589271344,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLOUDY/OVERCAST,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,W,5,12,13,0.2525400696474301,-0.08823949142329818,-1.401756360280953,0.5183504157845412,1
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,SNOW,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,ICE,NO DEFECTS,external factors,others,S,3,2,13,0.2525400696474301,-0.08823949142329818,-1.6773822400253593,0.8967732270292177,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,W,7,10,17,0.2525400696474301,-0.08823949142329818,-0.7261423835883015,-0.0835144793456603,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,STRAIGHT ON GRADE,WET,NO DEFECTS,dangerous driving,dangerous driving,S,7,8,13,-1.3864832134987628,-0.08823949142329818,-0.851862398656085,-0.2806772929514206,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,S,1,10,13,-0.5669715719256664,-0.08823949142329818,-0.03922811166948735,0.8007019477404032,1
NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,OTHER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,W,1,11,20,0.2525400696474301,-0.08823949142329818,1.4012481319633554,-3.824133330188047,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,ANGLE,CENTER TURN LANE,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,N,2,3,8,0.2525400696474301,-0.08823949142329818,1.2217383370897483,-0.8198396802329296,1
LANE USE MARKING,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,N,7,10,22,0.2525400696474301,-0.08823949142329818,0.825745914192051,0.5165042699230024,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,PARKING LOT,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,N,7,12,11,-2.2059948550718596,-0.08823949142329818,0.8600933749307219,-0.09200556639366529,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,W,7,12,10,0.2525400696474301,-0.08823949142329818,1.0999302056039872,-0.4819337284541515,1
STOP SIGN/FLASHER,NO CONTROLS,CLEAR,DAYLIGHT,ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,W,5,7,17,0.2525400696474301,-0.08823949142329818,0.2217746326405974,0.09534156255916755,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,S,1,3,12,0.2525400696474301,-0.08823949142329818,-1.4106278760586248,1.9595265971791573,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DUSK,TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,W,7,9,18,0.2525400696474301,-0.08823949142329818,-1.0734789178324597,-0.7312303954990519,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,PARKING LOT,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,W,7,8,16,-3.025506496644956,-0.08823949142329818,1.5708614167474189,-0.06385664108914871,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,others,N,5,10,16,0.2525400696474301,-0.08823949142329818,1.0952318450947254,-1.0611876284720312,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,S,6,8,9,0.2525400696474301,-0.08823949142329818,-1.9932721425836155,0.20401108124671802,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,W,1,1,15,-1.3864832134987628,-0.08823949142329818,-0.9237617889386838,-0.3857653512460277,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,S,1,3,14,0.2525400696474301,-0.08823949142329818,-2.220434266841342,0.8231873464149954,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,S,2,10,5,0.2525400696474301,-0.08823949142329818,-0.44165325386686516,-0.7592704006502576,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,ANGLE,PARKING LOT,STRAIGHT ON GRADE,SNOW OR SLUSH,WORN SURFACE,others,others,S,3,2,8,0.2525400696474301,-0.08823949142329818,-0.6627245804425814,-0.9870158284671187,1
NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,W,6,1,4,1.0720517112205266,6.3553828379170705,0.30646216227600964,-1.3550540333008416,1
NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,W,1,2,1,0.2525400696474301,-0.08823949142329818,0.8862651415329137,-0.544464974583223,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,N,5,10,8,0.2525400696474301,-0.08823949142329818,0.5908078429956312,-1.487934929181186,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,W,3,10,16,0.2525400696474301,-0.08823949142329818,-0.3718281592661163,-0.40427036100917874,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,dangerous driving,dangerous driving,N,1,8,18,0.2525400696474301,-0.08823949142329818,0.5219627010977562,0.8758878383479469,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,N,3,3,7,0.2525400696474301,-0.08823949142329818,1.1999811268311544,-0.6167250905909627,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,PARKING LOT,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,S,3,7,11,-3.845018138218052,-0.08823949142329818,-0.007277989981925398,0.8779298375287169,1
NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,FIXED OBJECT,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,WET,NO DEFECTS,dangerous driving,others,W,5,11,13,0.2525400696474301,-2.236113601203421,1.142327575540219,-0.5016582380220804,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,N,7,9,2,0.2525400696474301,-0.08823949142329818,0.5567349632834042,0.8102515898448727,1
TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,N,5,8,21,0.2525400696474301,-0.08823949142329818,1.6439456068221179,-0.8382331144909235,1
STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,others,others,E,7,9,15,-4.664529779791149,-0.08823949142329818,-0.5884154991073131,0.980967321717503,1
